epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.539,1.22106,1.74938,1.1468,0.95945,0.89294,0.93951,0.60124,1.18916,0.8725,1.106,0.00332577,0.00332577,0.00332577
2,266.693,1.20968,0.92792,1.11233,0.94546,0.89613,0.93173,0.60084,1.21767,0.74128,1.1396,0.00659318,0.00659318,0.00659318
3,395.363,1.24036,0.82307,1.14156,0.95967,0.86651,0.92405,0.59735,1.22805,0.75503,1.17245,0.00979459,0.00979459,0.00979459
4,523.505,1.26595,0.79714,1.167,0.95265,0.8697,0.92674,0.60705,1.21555,0.73021,1.17213,0.009703,0.009703,0.009703
5,650.909,1.23925,0.744,1.15757,0.94719,0.89841,0.93234,0.61112,1.18735,0.67094,1.14467,0.009604,0.009604,0.009604
6,777.754,1.22098,0.72,1.14616,0.94351,0.86879,0.92717,0.61812,1.18557,0.71208,1.15138,0.009505,0.009505,0.009505
7,905.109,1.20842,0.69297,1.14187,0.96868,0.90167,0.94534,0.63283,1.18685,0.60592,1.1386,0.009406,0.009406,0.009406
8,1033.06,1.19043,0.6599,1.13481,0.97551,0.90843,0.949,0.63887,1.17594,0.57587,1.12504,0.009307,0.009307,0.009307
9,1160.26,1.18789,0.65044,1.13495,0.97073,0.91344,0.95214,0.64131,1.16205,0.56738,1.13716,0.009208,0.009208,0.009208
10,1287.83,1.16396,0.6328,1.11894,0.98011,0.90752,0.95354,0.63855,1.17182,0.57881,1.13029,0.009109,0.009109,0.009109
11,1416.22,1.16114,0.62509,1.11288,0.97421,0.91215,0.9522,0.65107,1.15045,0.56931,1.12417,0.00901,0.00901,0.00901
12,1544.95,1.16231,0.61106,1.11637,0.97188,0.91572,0.95188,0.65612,1.13852,0.55544,1.10386,0.008911,0.008911,0.008911
13,1672.11,1.16141,0.61232,1.11566,0.98108,0.92437,0.96105,0.65877,1.14252,0.52988,1.1175,0.008812,0.008812,0.008812
14,1800.57,1.14702,0.59567,1.10554,0.9699,0.9248,0.95186,0.64728,1.15024,0.54168,1.10905,0.008713,0.008713,0.008713
15,1929.85,1.13732,0.58709,1.09195,0.97258,0.92528,0.96051,0.67798,1.10277,0.51507,1.08522,0.008614,0.008614,0.008614
16,2059.18,1.11985,0.57338,1.09189,0.95891,0.92255,0.95794,0.666,1.12377,0.52443,1.11652,0.008515,0.008515,0.008515
17,2188.2,1.13122,0.57849,1.09741,0.97872,0.92199,0.96062,0.6698,1.11229,0.50558,1.09589,0.008416,0.008416,0.008416
18,2316,1.13513,0.57058,1.09351,0.98494,0.92574,0.96441,0.6662,1.12135,0.49928,1.08922,0.008317,0.008317,0.008317
19,2441.66,1.11204,0.55665,1.08452,0.97084,0.92711,0.95976,0.67215,1.10947,0.49934,1.08554,0.008218,0.008218,0.008218
20,2568.09,1.11438,0.55412,1.08517,0.98064,0.92528,0.96602,0.6741,1.10705,0.50239,1.09332,0.008119,0.008119,0.008119
